titleId,ordering,title,regionclanguage,types,attributes,isOriginalTitle
tt0000688,2,The Flower Girl of Paris,USc\N,imdbDisplay,\N,0
tt0000689,2,For Love of Gold,USc\N,imdbDisplay,\N,0
tt0000690,1,For a Wife's Honor,USc\N,imdbDisplay,\N,0
tt0000691,2,The French Maid,USc\N,imdbDisplay,\N,0
tt0000694,1,The Girl and the Outlaw,USc\N,imdbDisplay,\N,0
tt0000695,2,The Greaser's Gauntlet,USc\N,imdbDisplay,\N,0
tt0000697,1,The Guerrilla,USc\N,imdbDisplay,\N,0
tt0000698,1,The Heart of O Yama,USc\N,imdbDisplay,\N,0
tt0000699,1,The Helping Hand,USc\N,imdbDisplay,\N,0
tt0000699,3,The Scarlet Woman,USc\N,alternative,\N,0
tt0000700,1,Her First Adventure,USc\N,imdbDisplay,\N,0
tt0000701,2,His Day of Rest,USc\N,imdbDisplay,\N,0
tt0000703,2,Hulda's Lovers,USc\N,imdbDisplay,\N,0
tt0000704,1,The Humpty Dumpty Circus,USc\N,imdbDisplay,\N,0
tt0000706,1,The Barbarian Ingomar,USc\N,alternative,\N,0
tt0000706,3,Ingomar the Barbarian,USc\N,imdbDisplay,\N,0
tt0000707,2,The Ingrate,USc\N,imdbDisplay,\N,0
tt0000708,2,The Invisible Fluid,USc\N,imdbDisplay,\N,0
tt0000709,2,Julius Caesar an Historical Tragedy,USc\N,alternative,\N,0
tt0000709,3,Julius Caesar,USc\N,imdbDisplay,\N,0
tt0000711,2,The Kentuckian,USc\N,imdbDisplay,\N,0
tt0000712,2,King of the Cannibal Islands,USc\N,imdbDisplay,\N,0
tt0000713,1,The King's Messenger,USc\N,imdbDisplay,\N,0
tt0000713,2,The King's Messenger a Story of Love Intrigue and Heroism,USc\N,\N,review title,0
tt0000714,1,Leah the Forsaken,USc\N,imdbDisplay,\N,0
tt0000715,2,The Life of an American Cowboy,USc\N,imdbDisplay,\N,0
tt0000716,1,Lonesome Junction,USc\N,imdbDisplay,\N,0
tt0000717,4,Macbeth Shakespeare's Sublime Tragedy,USc\N,alternative,\N,0
tt0000717,5,Macbeth,USc\N,imdbDisplay,\N,0
tt0000718,1,Making Moving Pictures,USc\N,imdbDisplay,\N,0
